comment	hate_speech_score	translation
After all this time the african americans are the people with most crime rate	1.0	Ушунча убакыт өткөндөн кийин, африкалык америкалыктар кылмыштуулуктун деңгээли эң көп адамдар
actually autism can make you a retard	1.0	чындыгында аутизм сени артта калтырышы мүмкүн
Jews are lower class pigs.	0.9838709677419355	Жүйүттөр төмөнкү класстагы чочко болуп саналат.
The Jew Faggot Behind The Financial Collapse.	0.9733333333333334	Финансылык кыйроонун артында еврей гомиктер турушат
Why are we not allowed to kill christians?	0.9545454545454546	Эмне үчүн бизге христиандарды өлтүрүүгө уруксат берилбейт?
Women are our property. The sooner they realize that, the better.	0.9375	Аялдар биздин мүлкүбүз. Алар муну канчалык тез түшүнсө, ошончолук жакшы.
I feel uncomfortable when I'm in the same room with an abnormal disabled person	0.8571428571428571	Мен анормалдуу майып адам менен бир бөлмөдө жүргөндө өзүмдү ыңгайсыз сезем
You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb	0.8333333333333334	Сен абдан бактылуу экенсиң, сенин сүйлөшкөн кызың бар. Сенин азиат жыныстык мүчөң менин баш бармагымдан кичине болуш керек
Well my religion isn’t as satanic as yours at least	0.8333333333333334	Менин диним сеникиндей шайтандык эмес
Too bad women don’t know how to kill themselves	0.8333333333333334	Өтө жаман аялдар өздөрүн кантип өлтүрүүнү билишпейт
The thing is women are not equal to us men and their place is the home and kitchen	0.8333333333333334	Аялдар биз эркектерге тең эмес, алардын орду үй жана ашкана да
the first step is to remove Romanians, they're no good anywhere they wash up	0.8333333333333334	биринчи кадам - румыниялыктарды жок кылуу, алар жүргөн жерде эч кандай жакшылык жок
People with traumatic brain injury should have the ability to get euthanatize	0.8333333333333334	Баш мээси жабыркаган адамдар эвтанатизацияга жөндөмдүү болушу керек
Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.	0.8333333333333334	Молдова мазохисттердин өлкөсү. Алар Россиянын оккупациясынан улам Европадагы эң жакыр өлкө, бирок ага карабай гүлдөгөн Европаны кучагына алгандын ордуна дагы эле аларга жабышып жатышат. Акылдуу эмес.
Kill all muslims	0.8333333333333334	Бардык мусулмандарды өлтүргүлө
Jewish piece of shits like him should get hanged	0.8333333333333334	Ага окшогон еврей боктор асылыш керек
I can spot a hitler in your blood. Aren’t you a German dude?	0.8333333333333334	Мен сенин каныңдан Гитлерди көрө алам. Сен немис эмессиңби?
He is the weirdest autistic I’ve seen in my life	0.8333333333333334	Ал жашоомдо биринчи жолу көргөн эң кызыктай бир аутист
Hating this church. Was a catholic one, right? Very happy to see it burn to dust	0.8333333333333334	Бул чиркөөнү жек көрөм. Ал католиктердики болгон, туурабы? Анын чаң болуп күйүп кеткенин көрүп абдан сүйүнүп жатам
Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.	0.8333333333333334	Феминист бактысыз болууга татыктуу. Кандай эркек феминист менен жашагысы келет? Мен келесоомун, албетте, алжыгандар.
Feminism is a very terrible disease 	0.8333333333333334	Феминизм абдан коркунучтуу оору
Down syndrome? Problematic people must be dead	0.8333333333333334	Даун синдрому? Проблемалуу адамдар өлүп калышы керек
Don't live where you’re not wanted. Deport Jews and Muslims	0.8333333333333334	Сиз каалабаган жерде жашабаңыз. Жөөттөрдү жана мусулмандарды депортациялоо керек
Don't hit Women. Just fuck them and make them pregnant.	0.8333333333333334	Аялдарды урбагыла. Жөн эле сигип, боюна бүтүргүлө.
But women aren't people, so it's fine!	0.8333333333333334	Бирок аялдар адам эмес, андыктан баары жакшы!
This channel is more dangerous than Islam	0.75	Бул канал исламдан да коркунучтуу
Fat lesbians	0.6666666666666666	Семиз лесбиянкалар
Asians reminds me the world slavery or servitude	0.6666666666666666	Азиялыктар мага дүйнөлүк кулчулукту же малайлыкты эске салат
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY	0.6666666666666666	Кыз экениң чынбы? Бутуңдагы парик мындай дейт: МЕН ЭРКЕК БОЛГУМ КЕЛЕТ
Jewish terrorist are killing innocent Palastinan who can't defend themselves...	0.6666666666666666	Еврей террористи өзүн коргой албаган бейкүнөө паластиналыктарды өлтүрүүдө...
Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!	0.6666666666666666	Ислам тынчтыктын дини....... бирок башкача айткан адамды өлтүрөбүз.........албетте Аллах үчүн!
