comment	hate_speech_score	translation	translation_with_typos
Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.	1.0	Азаматсың Словакия жана кудай колдосун. Мечит курбагыла, Исламга уруксат бербегиле же аны таанууга жол бербегиле. Алар ЕВРОПА мусулмандарды каалабайт деген ойду түшүнүшөт.	Азаматсын Словакия жана кудай колдосун. Мечит курбагыла, Исламга уруксат бербегиле же аны танууга жол бербегиле. Алар ЕВРОПА мусулмандарды калабайт деген ойду тушунушот.
We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain.	1.0	Бизде ак адамдарда IQ деңгээли каралардыкына караганда жогору, себеби IQ интеллектти өлчөйт жана биз көбүрөөк өнүккөнбүз жана мээбиз чоңураак расабыз.	Бизде ак адамдарда IQ денгеели каралардыкына караганда жогору, себеби IQ интеллектти олчойт жана биз кобурок онукконбуз жана меебиз чонурак расабыз.
transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose	1.0	трансгендерлерге жардам керек... алар баштары жагынан оорулуу. Цивилизация дүйнөнү бүлүндүрдү. Жакында адамдар жаныбарларга айлануу укугуна ээ деп ырасташат жана бул адам укуктары же тандоо укугу катары каралат	трансгендерлерге жардам керек... алар баштары жагынан орулуу. Цивилизация дуйнону булундурду. Жакында адамдар жаныбарларга айлануу укугуна ее деп ырасташат жана бул адам укуктары же тандо укугу катары каралат
Time to nuke China or Unleash a plague.	1.0	Кытайга ядролук сокку урууга же чуманы чыгарууга убакыт келди.	Кытайга ядролук сокку урууга же чуманы чыгарууга убакыт келди.
This priest is being hated even by his stupid god. 	1.0	Бул дин кызматчыны өзүнүн келесоо кудайы да жек көрүп жатат.	Бул дин кызматчыны озунун келесо кудайы да жек коруп жатат.
This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country	1.0	Бул кореялык канчык чочкодой. Ошентип, алар өздөрүнүн бок өлкөсүндө сумолордун армиясын түзүшкөн	Бул кореялык канчык чочкодой. Ошентип, алар оздорунун бок олкосундо сумолордун армиясын тузушкон
Taliban and all people with this thought must hanged	1.0	Талибан жана бул ойдогу бардык адамдар дарга асылыш керек	Талибан жана бул ойдогу бардык адамдар дарга асылыш керек
Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.	1.0	Кытайдан колдоо, биз Шинжаңда да рак динине каршы күрөшүп жатабыз, биздин эки расанын ортосундагы бардык айырмачылыктарга карабастан, биздин бирдиктүү душманыбыз бар, бул ислам.	Кытайдан колдо, биз Шинжанда да рак динине каршы курошуп жатабыз, биздин еки расанын ортосундагы бардык айырмачылыктарга карабастан, биздин бирдиктуу душманыбыз бар, бул ислам.
stone throwing must be legal when against women	1.0	аялдарга каршы таш ыргытуу мыйзамдуу болушу керек	аялдарга каршы таш ыргытуу мыйзамдуу болушу керек
SEND ALL GAYS TO HELL	1.0	БАРДЫК ГЕЙЛЕР ТОЗОККО КЕТИШСИН	БАРДЫК ГЕЙЛЕР ТОЗОККО КЕТИШСИН
Really, I hope she get raped in the future. Raping women should be legal I think	1.0	Чынында, бул келечекте зордукталат деп үмүттөнөм. Аялдарды зордуктоо мыйзамдуу болушу керек деп ойлойм	Чынында, бул келечекте зордукталат деп умуттоном. Аялдарды зордукто мыйзамдуу болушу керек деп ойлойм
Men race is a subordinate of women	1.0	Эркектер расасы аялдарга баш ийет	Еркектер расасы аялдарга баш ийет
Maybe it's because you're autistic?? Wish you death	1.0	Балким, сен аутист болгондугуң үчүнбү? Сага өлүм каалайм	Балким, сен аутист болгондугун учунбу? Сага олум калайм
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .	1.0	аялдарды үйгө камап сал. Аялдар эч нерсени түшүнө албаган өтө келесоо. Мен агностикмин.	аялдарды уйго камап сал. Аялдар еч нерсени тушуно албаган ото келесо. Мен агностикмин.
kill the gays	1.0	гейлерди өлтүргүлө	гейлерди олтургуло
Im going to choke you with your cross necklace idiotic religious pig	1.0	Мен сени кайчылаш мончогуң менен муунтуп алам, акмак диний чочко	Мен сени кайчылаш мончогун менен муунтуп алам, акмак диний чочко
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.	1.0	Эркектер аялдарга караганда физикалык жактан күчтүү болгондуктан урбаш керек болсо... анда аялдар сүйлөбөшү керек анткени алардын үнү катуураак чыгат.	Еркектер аялдарга караганда физикалык жактан кучтуу болгондуктан урбаш керек болсо... анда аялдар суйлобошу керек анткени алардын уну катуурак чыгат.
If I had Down syndrome I would kill myself	1.0	Менде Даун синдрому болсо, өзүмдү өлтүрмөкмүн	Менде Даун синдрому болсо, озумду олтурмокмун
I just don't like Homosexuals raising kids it's my opinion.	1.0	Мен гомосексуалдардын бала тарбиялаганын жактырбайм, бул менин оюм.	Мен гомосексуалдардын бала тарбиялаганын жактырбайм, бул менин оюм.
I hate mentally disabled people trying to touch my kids.	1.0	Балдарыма тийгенге аракет кылган психикалык жактан майыптарды жек көрөм.	Балдарыма тийгенге аракет кылган психикалык жактан майыптарды жек кором.
I don't hate women i just think that they have nothing interesting to say. None reason for existance.	1.0	Мен аялдарды жек көрбөйм, алардын айта турган эч нерсеси жок деп ойлойм. Алардын жашоосунун себеби жок.	Мен аялдарды жек корбойм, алардын айта турган еч нерсеси жок деп ойлойм. Алардын жашосунун себеби жок.
Everyone hates you because you're gay	1.0	Сен гей болгонуң үчүн сени баары жек көрөт	Сен гей болгонун учун сени бары жек корот
Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth	1.0	Мен аны хиджаб, никаб, паранжа же бок кийген сайын көргөн сайын мен аны ошол кездеме менен муунтуп өлтүрүүнү кыялданам.	Мен аны хиджаб, никаб, паранжа же бок кийген сан коргон сан мен аны ошол кездеме менен муунтуп олтурууну кыялданам.
Equality should not apply on people of different religions except christianity.	1.0	Христианчылыктан башка диндердин өкүлдөрүнө тең укуктуулук колдонулбашы керек.	Христианчылыктан башка диндердин окулдоруно тен укуктуулук колдонулбашы керек.
Buddhism is a religion for cows. People who believe this shit they get chopped sooner or later	1.0	Буддизм - уйлардын дини. Бул бокко ишенген адамдар эртеби-кечпи тууралышат	Буддизм - уйлардын дини. Бул бокко ишенген адамдар ертеби-кечпи тууралышат
Being a lesbian is fine if you really love being an animal	1.0	Лесбиянка болуу жакшы, эгер сен айбан болууну чындап сүйсөң	Лесбиянка болуу жакшы, егер сен айбан болууну чындап суйсон
American people are dumbass. They don't even know geography	1.0	Америка эли акылсыз. Алар географияны да билишпейт	Америка ели акылс. Алар географияны да билишпейт
all mental illnesses are awful and must be treated	1.0	бардык психикалык оорулар коркунучтуу жана аларды дарылоо керек	бардык психикалык орулар коркунучтуу жана аларды дарыло керек
All girls like you should have a pimp to guide them to successful prostitution	1.0	Сага окшогон кыздардын баарында ийгиликтүү сойкулукка жеткире турган сутенер болушу керек	Сага окшогон кыздардын барында ийгиликтуу сойкулукка жеткире турган сутенер болушу керек
After all this time the african americans are the people with most crime rate	1.0	Ушунча убакыт өткөндөн кийин, африкалык америкалыктар кылмыштуулуктун деңгээли эң көп адамдар	Ушунча убакыт откондон кин, африкалык америкалыктар кылмыштуулуктун денгеели ен коп адамдар
actually autism can make you a retard	1.0	чындыгында аутизм сени артта калтырышы мүмкүн	чындыгында аутизм сени артта калтырышы мумкун
Jews are lower class pigs.	0.9838709677419355	Жүйүттөр төмөнкү класстагы чочко болуп саналат.	Жуйуттор томонку класстагы чочко болуп саналат.
The Jew Faggot Behind The Financial Collapse.	0.9733333333333334	Финансылык кыйроонун артында еврей гомиктер турушат	Финансылык кыйронун артында еврей гомиктер турушат
Why are we not allowed to kill christians?	0.9545454545454546	Эмне үчүн бизге христиандарды өлтүрүүгө уруксат берилбейт?	Емне учун бизге христиандарды олтурууго уруксат берилбейт?
Women are our property. The sooner they realize that, the better.	0.9375	Аялдар биздин мүлкүбүз. Алар муну канчалык тез түшүнсө, ошончолук жакшы.	Аялдар биздин мулкубуз. Алар муну канчалык тез тушунсо, ошончолук жакшы.
I feel uncomfortable when I'm in the same room with an abnormal disabled person	0.8571428571428571	Мен анормалдуу майып адам менен бир бөлмөдө жүргөндө өзүмдү ыңгайсыз сезем	Мен анормалдуу майып адам менен бир болмодо жургондо озумду ынгайс сезем
You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb	0.8333333333333334	Сен абдан бактылуу экенсиң, сенин сүйлөшкөн кызың бар. Сенин азиат жыныстык мүчөң менин баш бармагымдан кичине болуш керек	Сен абдан бактылуу екенсин, сенин суйлошкон кызын бар. Сенин азиат жыныстык мучон менин баш бармагымдан кичине болуш керек
Well my religion isn’t as satanic as yours at least	0.8333333333333334	Менин диним сеникиндей шайтандык эмес	Менин диним сеникиндей шайтандык емес
Too bad women don’t know how to kill themselves	0.8333333333333334	Өтө жаман аялдар өздөрүн кантип өлтүрүүнү билишпейт	Ото жаман аялдар оздорун кантип олтурууну билишпейт
The thing is women are not equal to us men and their place is the home and kitchen	0.8333333333333334	Аялдар биз эркектерге тең эмес, алардын орду үй жана ашкана да	Аялдар биз еркектерге тен емес, алардын орду уй жана ашкана да
the first step is to remove Romanians, they're no good anywhere they wash up	0.8333333333333334	биринчи кадам - румыниялыктарды жок кылуу, алар жүргөн жерде эч кандай жакшылык жок	биринчи кадам - румыниялыктарды жок кылуу, алар жургон жерде еч кандай жакшылык жок
People with traumatic brain injury should have the ability to get euthanatize	0.8333333333333334	Баш мээси жабыркаган адамдар эвтанатизацияга жөндөмдүү болушу керек	Баш мееси жабыркаган адамдар евтанатизацияга жондомдуу болушу керек
Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.	0.8333333333333334	Молдова мазохисттердин өлкөсү. Алар Россиянын оккупациясынан улам Европадагы эң жакыр өлкө, бирок ага карабай гүлдөгөн Европаны кучагына алгандын ордуна дагы эле аларга жабышып жатышат. Акылдуу эмес.	Молдова мазохисттердин олкосу. Алар Россиянын оккупациясынан улам Европадагы ен жакыр олко, бирок ага карабай гулдогон Европаны кучагына алгандын ордуна дагы еле аларга жабышып жатышат. Акылдуу емес.
Kill all muslims	0.8333333333333334	Бардык мусулмандарды өлтүргүлө	Бардык мусулмандарды олтургуло
Jewish piece of shits like him should get hanged	0.8333333333333334	Ага окшогон еврей боктор асылыш керек	Ага окшогон еврей боктор асылыш керек
I can spot a hitler in your blood. Aren’t you a German dude?	0.8333333333333334	Мен сенин каныңдан Гитлерди көрө алам. Сен немис эмессиңби?	Мен сенин канындан Гитлерди коро алам. Сен немис емессинби?
He is the weirdest autistic I’ve seen in my life	0.8333333333333334	Ал жашоомдо биринчи жолу көргөн эң кызыктай бир аутист	Ал жашомдо биринчи жолу коргон ен кызыктай бир аутист
Hating this church. Was a catholic one, right? Very happy to see it burn to dust	0.8333333333333334	Бул чиркөөнү жек көрөм. Ал католиктердики болгон, туурабы? Анын чаң болуп күйүп кеткенин көрүп абдан сүйүнүп жатам	Бул чиркону жек кором. Ал католиктердики болгон, туурабы? Анын чан болуп куйуп кеткенин коруп абдан сунуп жатам
Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.	0.8333333333333334	Феминист бактысыз болууга татыктуу. Кандай эркек феминист менен жашагысы келет? Мен келесоомун, албетте, алжыгандар.	Феминист бактыс болууга татыктуу. Кандай еркек феминист менен жашагысы келет? Мен келесомун, албетте, алжыгандар.
Feminism is a very terrible disease 	0.8333333333333334	Феминизм абдан коркунучтуу оору	Феминизм абдан коркунучтуу ору
Down syndrome? Problematic people must be dead	0.8333333333333334	Даун синдрому? Проблемалуу адамдар өлүп калышы керек	Даун синдрому? Проблемалуу адамдар олуп калышы керек
Don't live where you’re not wanted. Deport Jews and Muslims	0.8333333333333334	Сиз каалабаган жерде жашабаңыз. Жөөттөрдү жана мусулмандарды депортациялоо керек	Сиз калабаган жерде жашабаныз. Жотторду жана мусулмандарды депортацияло керек
Don't hit Women. Just fuck them and make them pregnant.	0.8333333333333334	Аялдарды урбагыла. Жөн эле сигип, боюна бүтүргүлө.	Аялдарды урбагыла. Жон еле сигип, боюна бутургуло.
But women aren't people, so it's fine!	0.8333333333333334	Бирок аялдар адам эмес, андыктан баары жакшы!	Бирок аялдар адам емес, андыктан бары жакшы!
This channel is more dangerous than Islam	0.75	Бул канал исламдан да коркунучтуу	Бул канал исламдан да коркунучтуу
Fat lesbians	0.6666666666666666	Семиз лесбиянкалар	Семиз лесбиянкалар
Asians reminds me the world slavery or servitude	0.6666666666666666	Азиялыктар мага дүйнөлүк кулчулукту же малайлыкты эске салат	Азиялыктар мага дуйнолук кулчулукту же малайлыкты еске салат
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY	0.6666666666666666	Кыз экениң чынбы? Бутуңдагы парик мындай дейт: МЕН ЭРКЕК БОЛГУМ КЕЛЕТ	Кыз екенин чынбы? Бутундагы парик мындай дейт: МЕН ЕРКЕК БОЛГУМ КЕЛЕТ
Jewish terrorist are killing innocent Palastinan who can't defend themselves...	0.6666666666666666	Еврей террористи өзүн коргой албаган бейкүнөө паластиналыктарды өлтүрүүдө...	Еврей террористи озун коргой албаган бейкуно паластиналыктарды олтуруудо...
Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!	0.6666666666666666	Ислам тынчтыктын дини....... бирок башкача айткан адамды өлтүрөбүз.........албетте Аллах үчүн!	Ислам тынчтыктын дини....... бирок башкача айткан адамды олтуробуз.........албетте Аллах учун!
